Feature ID	WT_01	WT_02	Mu_01	Mu_02
AT1G05490	0.031820179	0.078507674	0.058106426	0.062128092
AT1G05500	23.98502507	26.52889639	24.9554706	23.82141219
AT1G05510	0	0	0.060609877	0
AT1G05520	16.16931009	15.51862341	14.97574907	15.12660479
AT1G05530	0.017832946	0.043997965	0.043419356	0.026113781
AT1G05540	2.602823788	3.542633021	2.993268894	3.769267321
AT1G05550	0.103898936	0.102536996	0.11805331	0.040572008
AT1G05560	16.74416363	16.780024	15.19140654	20.02689636
AT1G05562	0	0	0	0
AT1G05570	24.8594187	12.79419312	17.67345498	11.70148864
AT1G05575	6.405651628	3.633151904	4.481716268	2.947021673
AT1G05577	0.073088959	0.020036357	0	0
AT1G05580	0	0	0	0
AT1G05590	7.257967197	7.039963502	7.024033441	7.929276327
AT1G05600	4.158472708	2.765495652	3.215587875	2.895976309
AT1G05610	0.033304396	0.041084789	0.121633474	0.195077968
AT1G05615	0	0	0.057223198	0
AT1G05620	8.522475941	8.049902904	9.815911696	8.017914424
AT1G05630	5.653374135	7.930022164	10.67111091	10.36426969
AT1G05640	1.120068031	0.98238769	1.19804237	0.75846397
AT1G05650	0	0	0	0
AT1G05660	0	0	0	0
AT1G05670	2.243387822	2.239262782	2.076156518	2.304406057
AT1G05675	1.674839715	1.531942551	0.696221965	0.33498402
AT1G05680	0.064283189	0	0.019564453	0
AT1G05690	3.233134603	1.47753649	2.451048827	1.678581284
AT1G05700	0	0	0	0
AT1G05710	0.735414382	0.479678441	0.59685818	0.519886842
AT1G05720	33.11482302	25.53423604	24.45786808	24.07463569
AT1G05730	0.947293563	0.97164093	0.285067398	0.31172472
AT1G05740	0	0	0	0
AT1G05750	2.083370129	2.192260677	2.209461114	2.026481244
AT1G05760	0.346307936	1.424035092	1.920587432	0.957889748
AT1G05770	0.31025029	0.282011055	0.914422109	0.621696772
AT1G05780	6.867779214	4.828934278	4.425042034	4.094401486
AT1G05785	8.321671412	6.791779298	6.548382318	8.062147362
AT1G05790	9.233247194	7.623886431	8.692635793	8.03313472
AT1G05800	0	0	0	0
AT1G05805	41.30110303	27.60256351	38.80648401	38.9074452
AT1G05810	5.840210217	3.106865251	5.50224041	4.824287956
AT1G05820	0.543848061	0.626663817	0.902169558	0.787635661
AT1G05830	7.923561567	7.719302594	8.721645102	8.342087598
AT1G05835	0.539515206	1.7362274	2.056073525	0.893091324
AT1G05840	21.22032359	13.44332177	16.87831591	13.44370686
AT1G05850	352.859514	420.958005	407.7863701	482.7768906
AT1G05860	6.015889757	6.205733423	6.843865295	7.047523374
AT1G05870	16.2008844	8.58403256	11.62041853	10.69312028
AT1G05880	0.39575502	0.087180209	0.240894413	0
AT1G05890	27.63466262	16.22222245	21.7061675	17.99633885
AT1G05894	0.147355189	0.100988618	0.099660536	0.11987803
AT1G05900	13.65080744	10.36680583	11.10512541	10.92278469
AT1G05910	7.760507258	7.523652067	6.441529182	6.379871052
AT1G05920	0	0	0	0
AT1G05925	0	0	0	0
AT1G05930	0	0	0	0
AT1G05940	30.54113211	24.46822498	22.80202483	22.54884284
AT1G05950	2.218848699	1.544251543	1.675615475	0.834015244
AT1G05960	19.27070439	17.67467586	18.4351488	19.08033766
AT1G05970	6.276780835	5.039178864	4.019912973	5.544044159
AT1G05980	0	0	0	0
AT1G05990	0	0	0	0
AT1G06000	23.40397187	50.81191106	14.70906622	11.27759933
AT1G06002	0	0	0	0
AT1G06010	16.70685044	18.04250211	12.10474039	11.73857791
AT1G06020	0.270277367	0.159460834	0.200281193	0.309742656
AT1G06030	0.071681107	0	0.058175984	0
AT1G06040	158.9712457	126.493915	127.5530003	131.459768
AT1G06050	7.286591365	6.116601217	5.60009035	4.55517986
AT1G06060	19.03503055	14.69642529	18.59174008	17.97396351
AT1G06070	9.491423028	7.090435968	9.727036809	9.49233885
